Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,88.180000,88.510002,88.129997,88.260002,85.432243,5008400
2019-04-30,88.290001,88.400002,87.260002,87.830002,85.015999,7614100
2019-05-01,87.730003,87.949997,85.870003,85.900002,83.147835,6524600
2019-05-02,86.209999,86.279999,84.989998,85.269997,82.538025,6813700
2019-05-03,85.900002,86.300003,85.699997,85.699997,82.954254,6798300
2019-05-06,83.769997,83.870003,82.860001,83.570000,80.892479,12836600
2019-05-07,83.019997,83.629997,81.830002,82.540001,79.895500,9811300
2019-05-08,82.430000,83.989998,82.139999,82.769997,80.118111,9501300
2019-05-09,82.209999,83.010002,81.540001,82.980003,80.321396,6336600
2019-05-10,82.779999,84.269997,82.190002,83.949997,81.260330,5450500
2019-05-13,81.650002,82.629997,81.320000,82.529999,79.885826,6445200
2019-05-14,82.779999,84.000000,82.059998,83.669998,80.989296,7529200
2019-05-15,83.169998,84.489998,82.940002,84.010002,81.318398,4862200
2019-05-16,84.510002,85.400002,84.199997,84.279999,81.579750,6745200
2019-05-17,83.510002,85.519997,83.500000,84.570000,81.860458,5068200
2019-05-20,83.800003,83.800003,82.739998,82.849998,80.195549,7181900
2019-05-21,83.360001,83.800003,82.510002,83.639999,80.960251,5762500
2019-05-22,82.989998,83.339996,82.760002,83.199997,80.534340,5237800
2019-05-23,82.500000,83.059998,81.989998,82.639999,79.992302,9704200
2019-05-24,82.199997,83.169998,82.089996,82.160004,79.527679,5999000
2019-05-28,82.849998,83.190002,81.129997,81.199997,78.598419,7927300
2019-05-29,80.709999,80.860001,77.699997,78.870003,76.343086,10116900
2019-05-30,78.919998,79.730003,78.610001,79.260002,76.720589,6177800
2019-05-31,78.000000,78.260002,77.070000,77.139999,74.876335,8891100
2019-06-03,77.239998,78.580002,77.080002,77.959999,75.672272,11665500
2019-06-04,79.300003,81.650002,78.779999,81.620003,79.224884,7526800
2019-06-05,82.290001,82.900002,81.930000,82.720001,80.292603,8173200
2019-06-06,82.720001,83.059998,82.080002,82.449997,80.030533,4953000
2019-06-07,83.089996,83.680000,82.809998,83.410004,80.962341,3891100
2019-06-10,83.750000,84.199997,82.449997,82.580002,80.156700,4419800
2019-06-11,83.650002,84.339996,83.129997,83.260002,80.816757,3939400
2019-06-12,83.480003,84.019997,82.519997,82.629997,80.205231,4025900
2019-06-13,83.150002,83.919998,83.050003,83.610001,81.156487,3383400
2019-06-14,83.510002,83.860001,83.040001,83.440002,80.991470,4355600
2019-06-17,83.339996,83.459999,82.010002,82.110001,79.700493,5101900
2019-06-18,82.699997,84.650002,82.500000,84.300003,81.826241,6456500
2019-06-19,83.730003,83.900002,83.139999,83.550003,81.098236,6217700
2019-06-20,84.900002,85.669998,84.419998,85.239998,82.738647,6163800
2019-06-21,85.160004,85.750000,84.599998,85.750000,83.233681,9289800
2019-06-24,86.000000,86.849998,84.370003,84.500000,82.020363,8043300
2019-06-25,84.599998,84.690002,82.160004,82.620003,80.195526,7339900
2019-06-26,83.150002,83.690002,82.440002,82.550003,80.127579,5838500
2019-06-27,82.930000,83.769997,82.930000,83.660004,81.205009,11436700
2019-06-28,83.989998,84.750000,82.669998,83.949997,81.486511,12443800
2019-07-01,84.930000,86.279999,84.900002,85.410004,82.903656,6587300
2019-07-02,85.360001,85.470001,84.220001,84.959999,82.466850,7187200
